MNO,RFNSA ID,Latitude,Longitude,New in 2023,3G,4G,5G,Co_funded,ABS_REMOTENESS
Optus,852103,-15.572364,133.214943,N,Y,Y,N,Y,Very Remote Australia
Optus,852104,-16.679644,133.412643,N,Y,Y,N,Y,Very Remote Australia
Optus,852107,-16.486946,130.643636,Y,Y,Y,N,Y,Very Remote Australia
Optus,852111,-14.178461,132.186257,N,Y,Y,N,Y,Very Remote Australia
Optus,860007,-19.64497,134.183655,N,Y,Y,N,N,Very Remote Australia
Optus,862040,-18.318584,133.795264,N,Y,N,N,N,Very Remote Australia
Optus,862041,-19.71095,135.82742,N,Y,N,N,N,Very Remote Australia
Optus,862042,-17.55584,133.54782,N,Y,N,N,N,Very Remote Australia
Optus,870011,-22.64468,133.34561,N,Y,N,N,N,Very Remote Australia
Optus,870025,-23.801829,133.903038,N,Y,Y,N,N,Remote Australia
Optus,870028,-23.699897,133.879153,N,Y,Y,N,N,Remote Australia
Optus,870030,-23.722548,133.857597,N,Y,Y,N,N,Remote Australia
Optus,870052,-23.66924,133.864338,N,Y,Y,N,N,Remote Australia
Optus,870061,-23.700055,133.894595,N,Y,Y,N,N,Remote Australia
Optus,870064,-23.6898,133.836,Y,N,Y,Y,N,Remote Australia
Optus,872003,-25.242591,130.984035,N,Y,Y,N,N,Very Remote Australia
Optus,872132,-21.53135,133.88937,N,Y,N,N,N,Very Remote Australia
Optus,872133,-23.6322,132.7268,N,Y,N,N,N,Very Remote Australia
Optus,872134,-20.79537,134.23659,N,Y,N,N,N,Very Remote Australia
Optus,872135,-22.13295,133.4167,N,Y,N,N,N,Very Remote Australia
Optus,872136,-25.19756,133.20079,N,Y,N,N,N,Very Remote Australia
Optus,872137,-25.31384,131.75688,N,Y,N,N,N,Very Remote Australia
Optus,872140,-25.8395,133.2997,N,Y,N,N,N,Very Remote Australia
Optus,872141,-25.1795,132.6766,N,Y,N,N,N,Very Remote Australia
Optus,872142,-23.6852,132.6726,N,Y,N,N,N,Very Remote Australia
Optus,872143,-20.6409,134.2227,N,Y,N,N,Y,Very Remote Australia
Optus,872144,-24.4053,131.8179,N,Y,N,N,Y,Very Remote Australia
Optus,872145,-24.34009,133.45876,N,Y,N,N,Y,Remote Australia
Optus,872146,-24.251,131.5116,N,Y,N,N,Y,Very Remote Australia
Optus,872147,-22.96838,134.24121,N,Y,N,N,Y,Very Remote Australia
Optus,872149,-23.5959,134.4883,N,Y,N,N,N,Remote Australia
Optus,872155,-25.191336,130.976089,Y,N,Y,Y,N,Very Remote Australia
Optus,872161,-22.2742,137.97409,N,Y,Y,N,Y,Very Remote Australia
Optus,872169,-23.7882,133.0742,Y,Y,Y,N,Y,Very Remote Australia
Optus,872184,-22.329883,124.726903,Y,Y,Y,N,Y,Very Remote Australia
Optus,872185,-23.5224,134.39741,Y,Y,Y,N,Y,Very Remote Australia
Optus,872186,-24.862581,133.81455,Y,Y,Y,N,Y,Remote Australia
Optus,872187,-20.5558,134.2694,Y,Y,Y,N,Y,Very Remote Australia
Optus,872188,-23.464182,134.68697,N,Y,Y,N,Y,Remote Australia
Optus,872189,-24.056241,132.739943,Y,Y,Y,N,Y,Very Remote Australia
Optus,872191,-23.5863,132.51367,Y,Y,Y,N,Y,Very Remote Australia
Optus,880003,-12.181375,136.776877,N,Y,Y,N,N,Very Remote Australia
Optus,886001,-12.669492,132.834471,N,Y,Y,N,N,Remote Australia
Optus,2000003,-33.86979,151.204469,N,Y,Y,N,N,Major Cities of Australia
Optus,2000006,-33.875432,151.206053,N,Y,Y,N,N,Major Cities of Australia
Optus,2000008,-33.87445943,151.2069197,N,N,Y,N,N,Major Cities of Australia
Optus,2000008,-33.874914,151.207279,N,N,Y,N,N,Major Cities of Australia
Optus,2000015,-33.871721,151.203682,N,Y,Y,N,N,Major Cities of Australia
Optus,2000016,-33.869773,151.213336,N,Y,Y,N,N,Major Cities of Australia
Optus,2000019,-33.865154,151.207079,N,N,Y,Y,N,Major Cities of Australia
Optus,2000020,-33.867461,151.213011,N,N,Y,N,N,Major Cities of Australia
Optus,2000022,-33.87832652,151.2044129,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000023,-33.872255,151.206271,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000024,-33.874213,151.213253,N,Y,Y,N,N,Major Cities of Australia
Optus,2000026,-33.860512,151.206214,N,Y,Y,N,N,Major Cities of Australia
Optus,2000027,-33.859313,151.207565,N,Y,Y,N,N,Major Cities of Australia
Optus,2000037,-33.86006,151.20906,N,Y,Y,N,N,Major Cities of Australia
